id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00011,topogps,c1_056,c4_056,bridge_c1_c4,bridge_c1_c4,1,6,120,8.5012,256,1,42,2000
q00011,topogps_cuepath,c1_056,c4_056,bridge_c1_c4,bridge_c1_c4,1,6,0,1.0202,256,1,42,2000
q00011,topogps_no_cue,c1_056,c4_056,bridge_c1_c4,c1_056,0,269,120,7.683,256,1,42,2000
q00012,nn,c0_105,c3_105,bridge_c0_c3,c0_105,0,0,0,0.0051,256,1,42,2000
q00012,minsim,c0_105,c3_105,bridge_c0_c3,bridge_c0_c3,1,0,0,0.0076,256,1,42,2000
q00012,graph_ppr,c0_105,c3_105,bridge_c0_c3,c0_010,0,0,0,3.8536,256,1,42,2000
q00012,topogps,c0_105,c3_105,bridge_c0_c3,bridge_c0_c3,1,4,120,10.7934,256,1,42,2000
q00012,topogps_cuepath,c0_105,c3_105,bridge_c0_c3,bridge_c0_c3,1,4,0,1.7846,256,1,42,2000
q00012,topogps_no_cue,c0_105,c3_105,bridge_c0_c3,c0_105,0,397,120,9.9977,256,1,42,2000
q00013,nn,c4_060,c0_060,bridge_c0_c4,c4_060,0,0,0,0.0086,256,1,42,2000
q00013,minsim,c4_060,c0_060,bridge_c0_c4,bridge_c0_c4,1,0,0,0.0085,256,1,42,2000
q00013,graph_ppr,c4_060,c0_060,bridge_c0_c4,c0_010,0,0,0,3.9655,256,1,42,2000
q00013,topogps,c4_060,c0_060,bridge_c0_c4,c4_026,0,7,120,9.2385,256,1,42,2000
q00013,topogps_cuepath,c4_060,c0_060,bridge_c0_c4,bridge_c0_c4,1,7,0,1.3441,256,1,42,2000
q00013,topogps_no_cue,c4_060,c0_060,bridge_c0_c4,c4_060,0,316,120,10.2989,256,1,42,2000
q00014,nn,c4_035,c3_035,bridge_c3_c4,c4_035,0,0,0,0.0071,256,1,42,2000
q00014,minsim,c4_035,c3_035,bridge_c3_c4,bridge_c3_c4,1,0,0,0.0085,256,1,42,2000
q00014,graph_ppr,c4_035,c3_035,bridge_c3_c4,c4_078,0,0,0,4.1058,256,1,42,2000
q00014,topogps,c4_035,c3_035,bridge_c3_c4,c4_002,0,6,120,9.3241,256,1,42,2000
q00014,topogps_cuepath,c4_035,c3_035,bridge_c3_c4,bridge_c3_c4,1,6,0,1.4475,256,1,42,2000
q00014,topogps_no_cue,c4_035,c3_035,bridge_c3_c4,c4_035,0,415,120,10.7853,256,1,42,2000
q00015,nn,c4_036,c1_036,bridge_c1_c4,c4_036,0,0,0,0.0072,256,1,42,2000
q00015,minsim,c4_036,c1_036,bridge_c1_c4,bridge_c1_c4,1,0,0,0.0085,256,1,42,2000
q00015,graph_ppr,c4_036,c1_036,bridge_c1_c4,c4_078,0,0,0,4.0733,256,1,42,2000
q00015,topogps,c4_036,c1_036,bridge_c1_c4,c4_054,0,6,120,9.0272,256,1,42,2000
q00015,topogps_cuepath,c4_036,c1_036,bridge_c1_c4,bridge_c1_c4,1,6,0,1.2177,256,1,42,2000
q00015,topogps_no_cue,c4_036,c1_036,bridge_c1_c4,c4_036,0,300,120,9.676,256,1,42,2000
q00016,nn,c0_036,c2_036,bridge_c0_c2,c0_036,0,0,0,0.0064,256,1,42,2000
q00016,minsim,c0_036,c2_036,bridge_c0_c2,bridge_c0_c2,1,0,0,0.0093,256,1,42,2000
q00016,graph_ppr,c0_036,c2_036,bridge_c0_c2,c2_089,0,0,0,4.0023,256,1,42,2000
q00016,topogps,c0_036,c2_036,bridge_c0_c2,bridge_c0_c2,1,8,120,9.2098,256,1,42,2000
q00016,topogps_cuepath,c0_036,c2_036,bridge_c0_c2,c0_101,0,8,0,1.3433,256,1,42,2000
q00016,topogps_no_cue,c0_036,c2_036,bridge_c0_c2,c0_036,0,404,120,9.9653,256,1,42,2000
q00017,nn,c0_060,c4_060,bridge_c0_c4,c0_060,0,0,0,0.0076,256,1,42,2000
q00017,minsim,c0_060,c4_060,bridge_c0_c4,bridge_c0_c4,1,0,0,0.0099,256,1,42,2000
q00017,graph_ppr,c0_060,c4_060,bridge_c0_c4,c0_010,0,0,0,3.9456,256,1,42,2000
q00017,topogps,c0_060,c4_060,bridge_c0_c4,bridge_c0_c4,1,7,120,8.8224,256,1,42,2000
q00017,topogps_cuepath,c0_060,c4_060,bridge_c0_c4,bridge_c0_c4,1,7,0,1.3224,256,1,42,2000
q00017,topogps_no_cue,c0_060,c4_060,bridge_c0_c4,c0_060,0,212,120,8.7089,256,1,42,2000
q00018,nn,c0_114,c1_114,bridge_c0_c1,c0_114,0,0,0,0.0075,256,1,42,2000
q00018,minsim,c0_114,c1_114,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0101,256,1,42,2000
q00018,graph_ppr,c0_114,c1_114,bridge_c0_c1,c1_077,0,0,0,3.9279,256,1,42,2000
q00018,topogps,c0_114,c1_114,bridge_c0_c1,c0_073,0,9,120,8.9095,256,1,42,2000
q00018,topogps_cuepath,c0_114,c1_114,bridge_c0_c1,c0_047,0,9,0,1.5061,256,1,42,2000
q00018,topogps_no_cue,c0_114,c1_114,bridge_c0_c1,c0_114,0,192,120,7.2767,256,1,42,2000
q00019,nn,c3_037,c2_037,bridge_c2_c3,c3_037,0,0,0,0.0052,256,1,42,2000
q00019,minsim,c3_037,c2_037,bridge_c2_c3,bridge_c2_c3,1,0,0,0.0074,256,1,42,2000
q00019,graph_ppr,c3_037,c2_037,bridge_c2_c3,c3_016,0,0,0,3.3209,256,1,42,2000
q00019,topogps,c3_037,c2_037,bridge_c2_c3,bridge_c2_c3,1,7,120,7.4819,256,1,42,2000
q00019,topogps_cuepath,c3_037,c2_037,bridge_c2_c3,bridge_c3_c4,0,7,0,1.0819,256,1,42,2000
q00019,topogps_no_cue,c3_037,c2_037,bridge_c2_c3,c3_037,0,203,120,7.3115,256,1,42,2000
