id,task,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00026,associative,topogps_cuepath,c0_017,c3_017,bridge_c0_c3_017,bridge_c0_c3_017,1,3,0,0.5081,256,1,42,2000
q00026,associative,topogps_no_cue,c0_017,c3_017,bridge_c0_c3_017,bridge_c0_c2_073,0,2500,120,21.7122,256,1,42,2000
q00027,associative,nn,c1_043,c0_043,bridge_c0_c1_043,c1_043,0,0,0,0.0083,256,1,42,2000
q00027,associative,minsim,c1_043,c0_043,bridge_c0_c1_043,c4_085,0,0,0,0.013,256,1,42,2000
q00027,associative,graph_ppr,c1_043,c0_043,bridge_c0_c1_043,bridge_c0_c1_043,1,0,0,10.1281,256,1,42,2000
q00027,associative,topogps,c1_043,c0_043,bridge_c0_c1_043,bridge_c0_c1_043,1,3,0,0.7655,256,1,42,2000
q00027,associative,topogps_cuepath,c1_043,c0_043,bridge_c0_c1_043,bridge_c0_c1_043,1,3,0,0.5015,256,1,42,2000
q00027,associative,topogps_no_cue,c1_043,c0_043,bridge_c0_c1_043,bridge_c1_c3_070,0,2500,120,21.6258,256,1,42,2000
q00028,associative,nn,c1_087,c3_087,bridge_c1_c3_087,c1_087,0,0,0,0.008,256,1,42,2000
q00028,associative,minsim,c1_087,c3_087,bridge_c1_c3_087,c3_010,0,0,0,0.0129,256,1,42,2000
q00028,associative,graph_ppr,c1_087,c3_087,bridge_c1_c3_087,bridge_c1_c3_087,1,0,0,10.2219,256,1,42,2000
q00028,associative,topogps,c1_087,c3_087,bridge_c1_c3_087,bridge_c1_c3_087,1,3,1,0.8451,256,1,42,2000
q00028,associative,topogps_cuepath,c1_087,c3_087,bridge_c1_c3_087,bridge_c1_c3_087,1,3,0,0.5028,256,1,42,2000
q00028,associative,topogps_no_cue,c1_087,c3_087,bridge_c1_c3_087,bridge_c1_c3_016,0,2500,120,21.3014,256,1,42,2000
q00029,associative,nn,c0_062,c2_062,bridge_c0_c2_062,c0_062,0,0,0,0.0082,256,1,42,2000
q00029,associative,minsim,c0_062,c2_062,bridge_c0_c2_062,c0_060,0,0,0,0.0128,256,1,42,2000
q00029,associative,graph_ppr,c0_062,c2_062,bridge_c0_c2_062,bridge_c0_c2_062,1,0,0,10.103,256,1,42,2000
